id,content,timestamp,conversation_id,sender_profile_id
1,Hello, Yassine!,2024-10-18 11:08:37.021475,1,356
2,Hello,2024-10-18 23:42:25.072650,1,356
3,Welcome,2024-10-18 23:44:50.049459,1,402
4,Empty Message,2024-10-18 23:49:12.951534,1,402
5,Empty Message,2024-10-18 23:49:13.387121,1,402
6,Empty Message,2024-10-18 23:49:14.055547,1,402
7,Empty Message,2024-10-18 23:49:14.384342,1,402
8,Empty Message,2024-10-18 23:49:14.616811,1,402
9,Empty Message,2024-10-18 23:49:14.869307,1,402
10,Empty Message,2024-10-18 23:49:15.203062,1,402
11,Empty Message,2024-10-18 23:49:25.003116,1,356
12,Empty Message,2024-10-18 23:52:42.523263,1,356
13,Hello,2024-10-20 10:40:43.392531,2,356
14,world,2024-10-20 10:56:50.890128,2,356
15,Hello,2024-10-20 10:58:45.195036,2,356
16,Hello,2024-10-20 11:02:40.107142,4,356
17,Palao,2024-10-20 11:33:40.823117,1,402
18,Palao,2024-10-20 11:34:29.836476,1,402
19,Yes,2024-10-20 11:49:30.361368,1,402
20,Hello,2024-10-20 12:34:49.659035,1,356
21,Yes,2024-10-20 12:37:29.679155,1,402
22,Hello,2024-10-20 12:40:32.761827,1,356
23,Hello Fake, How are you?,2024-10-20 12:45:11.583792,3,402
24,I'm fine. What do you do?,2024-10-20 12:47:02.648704,3,1702
25,I'm working on the pamifactura web application.,2024-10-20 13:05:25.443518,3,402
26,Hi, Rayhanul Dev.,2024-10-21 08:56:24.248549,4,1702
27,I'm fine. What do you do?,2024-10-21 11:07:15.639851,4,356
28,from here,2024-10-21 11:07:47.880871,4,1702
29,Hello, Yassine!,2024-10-21 11:11:10.291779,4,356
30,Test,2024-10-21 11:12:00.568774,4,1702
31,Hello again,2024-10-21 11:28:32.946763,1,356
32,Hello,2024-10-21 11:56:09.313111,6,103
33,Hola Fernando,2024-10-21 17:59:05.192317,9,307
34,Holas Kania :-),2024-10-21 17:59:23.112128,10,307
35,Hello Ashir :-),2024-10-21 17:59:37.871476,11,307
36,Hello Hassan :-),2024-10-21 17:59:49.900222,12,307
37,Hello Dmytro :-),2024-10-21 18:00:02.309406,13,307
38,Hello Ray,2024-10-21 18:00:17.866663,14,307
39,Hello,2024-10-22 17:16:54.382909,7,58
40,hi,2024-10-23 04:12:58.515417,7,58
41,hello,2024-10-23 07:08:46.838919,16,254
42,hi ,2024-10-23 07:39:46.227976,11,56
43,Hello,2024-10-23 16:14:49.206966,12,307
44,hello,2024-10-23 16:38:32.251377,13,53
45,hi,2024-10-23 17:28:04.078554,7,58
46,Hi hassan, are you here,2024-10-24 13:57:52.160509,7,58
47,Hi  there,2024-10-24 13:58:28.515768,19,58
48,Hi dmytro. are you there,2024-10-24 14:04:49.130501,21,58
49,hello,2024-10-24 14:18:44.949322,11,56
50,hello,2024-10-24 14:19:15.547642,12,107
51,Hello,2024-10-24 14:19:41.533648,21,5
52,please send me a message,2024-10-24 14:20:34.186564,21,5
53,Hi there i am yonas,2024-10-24 14:20:57.383875,21,58
54,Hi dmytro,2024-10-24 14:21:47.992918,21,58
55,hola,2024-10-24 14:49:25.448435,24,2453
56,hola,2024-10-24 14:50:34.048675,25,2453
57,?,2024-10-24 15:10:37.336006,24,107
58,Hello test 1,2024-10-24 15:10:43.854997,26,5
59,?,2024-10-24 15:10:47.914110,26,107
60,hello 2,2024-10-24 15:11:21.540572,26,5
61,Hello ,2024-10-24 15:20:35.430678,26,5
62,holaaaaaaaaaaa,2024-10-24 17:27:50.107346,27,2453
63,hi,2024-10-24 21:31:41.025483,16,252
64,hello,2024-10-25 12:30:39.597536,28,58
65,test,2024-10-25 17:55:40.449314,28,58
66,Please check the message,2024-10-25 17:57:04.481199,29,208
67,Please check the message,2024-10-25 17:57:06.312209,29,208
68,Hello, ,2024-10-27 01:57:36.505738,32,103
69,How do you do?,2024-10-27 02:32:55.583643,1,402
70,I'm working on the messaging system,2024-10-27 02:34:07.345755,1,356
71,Wow! nice,2024-10-27 02:34:48.687364,1,402
72,Thanks,2024-10-27 02:35:11.912254,1,356
73,hi,2024-10-28 10:11:01.375470,8,206
74,hi,2024-10-28 10:11:04.156027,8,206
75,testing,2024-10-28 13:08:32.472750,8,206
76,I used two interval for two screen for refresh evey 5 seconds,2024-10-28 14:23:01.407159,2,356
77,hi,2024-10-29 05:43:52.557066,23,5
78,hi,2024-10-29 07:01:09.340485,35,5
79,testing,2024-10-29 07:01:57.911974,35,5
80,Hi zeeshan,2024-10-29 07:02:34.955288,35,5
81,Welcome,2024-10-29 23:02:34.861425,4,356
82,selam,2024-10-30 06:18:33.650231,37,58
83,hello,2024-10-30 06:18:52.477372,7,58
84,Hi zeeshan,2024-10-30 12:11:25.976249,35,5
85,im here,2024-10-30 12:13:34.345135,35,5
86,hello,2024-10-30 12:23:47.999288,35,5
87,helloooo,2024-10-30 12:24:54.310019,35,5
88,hyy,2024-10-30 12:25:06.403390,35,206
89,hyy,2024-10-30 15:32:49.519030,21,5
90,hyy,2024-10-30 15:32:50.662429,21,5
91,hy,2024-10-30 15:37:22.894599,21,5
92,hello,2024-10-30 15:38:44.919737,21,5
93,hy,2024-10-30 15:42:10.993541,35,206
94,hy,2024-10-30 15:42:11.491122,35,206
95,hy,2024-10-30 15:42:47.049942,35,5
96,test,2024-10-30 15:43:13.250413,35,5
97,ee,2024-10-30 17:10:01.483849,35,5
98,ee,2024-10-30 17:10:02.837637,35,5
99,ee,2024-10-30 17:10:03.273624,35,5
100,Hi zeeshan,2024-10-30 17:59:49.269554,35,5
101,testing,2024-10-30 18:31:16.529581,35,5
102,Hi zeeshan,2024-10-30 18:34:00.138102,39,5
103,hy,2024-10-31 11:10:38.467261,21,5
104,hy,2024-10-31 11:10:39.850882,21,5
105,hy,2024-10-31 11:10:40.728936,21,5
106,hy,2024-10-31 11:10:41.379304,21,5
107,hy,2024-10-31 11:10:44.007845,21,5
108,hy,2024-10-31 11:11:28.660462,21,5
109,hy,2024-10-31 11:11:56.675904,39,5
110,hy,2024-10-31 11:12:00.060503,39,5
111,hy,2024-10-31 11:12:49.016297,39,5
112,hy,2024-10-31 11:14:13.332216,39,5
113,hy,2024-10-31 11:15:33.901447,39,5
114,hyy,2024-10-31 11:15:44.557837,39,5
115,hy,2024-10-31 11:19:41.977778,21,5
116,hy testing new message,2024-10-31 11:29:27.240451,39,5
117,hy,2024-10-31 12:21:09.623251,39,5
118,hy,2024-10-31 12:24:19.940050,39,5
119,hy,2024-10-31 12:24:20.268628,39,5
120,hy testing new message,2024-10-31 13:00:41.115556,39,5
121,hy testing new message,2024-10-31 13:00:42.729144,39,5
122,..,2024-10-31 13:05:55.009433,39,5
123,..,2024-10-31 13:05:55.319790,39,5
124,...,2024-10-31 13:37:41.428110,39,5
125,;;,2024-10-31 13:38:12.843170,39,5
126,oo,2024-10-31 14:21:39.044434,8,206
127,hyy,2024-10-31 14:23:09.262846,35,206
128,hy testing new message,2024-10-31 14:23:26.056101,35,206
129,zee testing,2024-10-31 15:17:55.744959,39,5
130,zee testing,2024-10-31 15:37:12.445973,39,5
131,zee testing 2,2024-10-31 15:37:32.857918,39,5
132,zee testing3,2024-10-31 15:39:04.207190,39,5
133,zee testing4,2024-10-31 15:39:44.875369,39,5
134,hello dimitro its testing in real time,2024-10-31 15:46:25.665617,35,206
135,hi zee,2024-10-31 15:48:45.313026,35,5
136,hy testing new message,2024-10-31 16:30:47.930530,8,206
137,hy testing new message,2024-10-31 16:30:49.761892,8,206
138,hello,2024-10-31 16:32:38.076745,8,206
139,hy testing new message,2024-10-31 16:33:47.748268,8,206
140,world,2024-10-31 16:35:46.971029,8,206
141,test,2024-11-01 15:41:51.708064,39,5
142,hi zee,2024-11-01 15:50:07.807115,39,5
143,hi dimitro,2024-11-01 16:01:08.193259,35,206
144,hello dymitro testing here,2024-11-01 16:19:19.742246,35,206
145,Hi zeeshan you've invited me as your client,2024-11-01 16:48:34.117646,35,5
146,Hi dymitro thanks for accepting the accoutant invite,2024-11-01 17:00:59.537128,35,206
147,Hi zeeshan,2024-11-01 17:02:05.555811,35,5
148,Hi im testing dim,2024-11-01 17:25:24.452596,35,5
149,zzzzzzzz,2024-11-01 17:31:20.837360,35,5
150,tttttt,2024-11-01 17:33:44.768323,35,5
151,dyyyyyy,2024-11-01 17:41:02.969585,35,206
152,test aaaa,2024-11-01 17:41:36.481597,35,5
153,wowwwww,2024-11-01 17:44:33.342583,35,5
154,settttting...,2024-11-01 17:48:42.720731,35,5
155,goooooo,2024-11-01 17:48:54.919729,35,5
156,uuuuuuuuuuu,2024-11-01 18:00:17.559073,35,5
157,Hello Thomas, Can you hear me? HHH,2024-11-02 05:59:26.274502,29,208
158,Hello Thomas, Can you hear me? HHH,2024-11-02 05:59:29.638272,29,208
159,hello sss,2024-11-02 16:19:46.772518,35,206
160,hlo ,2024-11-02 18:51:52.694589,21,5
161,hlo ,2024-11-02 18:51:55.083444,21,5
162,h,2024-11-02 19:34:06.941702,21,5
163,h,2024-11-02 19:34:07.824543,21,5
164,dd,2024-11-02 19:35:12.198260,39,5
165,sss,2024-11-02 19:35:25.669453,39,5
166,ssj,2024-11-02 19:36:43.876715,39,5
167,ss,2024-11-02 19:39:32.985539,35,206
168,saad,2024-11-02 19:40:43.016946,35,206
169,hi,2024-11-02 19:49:41.528255,35,5
170,how are u,2024-11-02 19:51:51.360743,35,206
171,???\,2024-11-02 19:53:31.161655,39,5
172,???,2024-11-02 19:53:32.087711,39,5
173,how u,2024-11-02 19:55:26.543376,39,5
174,huu,2024-11-02 20:02:51.622943,39,5
175,gg,2024-11-02 20:03:40.870660,39,5
176,???\,2024-11-02 20:04:58.765499,35,206
177,hi,2024-11-02 20:07:26.514179,35,206
178,kkk,2024-11-02 20:08:31.089083,35,206
179,dd,2024-11-02 20:14:50.532493,35,206
180,huu,2024-11-02 20:30:41.762615,35,5
181,??/,2024-11-02 20:39:29.920298,8,206
182,ali,2024-11-03 07:19:29.658332,35,206
183,ali,2024-11-03 07:19:35.590640,35,206
184,ss,2024-11-03 07:21:23.176284,35,206
185,dd,2024-11-03 07:24:12.440176,35,5
186,sadasa,2024-11-03 07:36:19.253091,35,5
187,kaka,2024-11-03 07:57:52.342056,8,206
188,jjs,2024-11-03 08:00:36.808750,8,206
189,hii,2024-11-03 11:22:40.583787,43,58
190,??,2024-11-03 11:25:16.333084,21,5
191,???????,2024-11-03 11:27:11.335039,21,5
192,??,2024-11-03 11:38:41.682789,43,58
193,??,2024-11-03 11:38:43.059103,43,58
194,kk,2024-11-03 11:53:36.509458,43,58
195,Hello,2024-11-03 15:50:07.195150,44,356
196,Hello,2024-11-03 15:50:08.746096,44,356
197,Hello from support profile,2024-11-03 15:51:41.066440,44,356
198,hy testing new message,2024-11-04 10:10:25.263923,8,206
199,hyy,2024-11-04 10:11:17.555735,8,206
200,hyy,2024-11-04 10:11:17.601837,8,206
201,hyy,2024-11-04 10:11:17.744690,8,206
202,hyy,2024-11-04 10:11:17.841190,8,206
203,hyy,2024-11-04 10:11:17.871710,8,206
204,hyy,2024-11-04 10:11:18.030959,8,206
205,hyy,2024-11-04 10:11:18.130103,8,206
206,hyy,2024-11-04 10:11:28.519272,8,206
207,hy,2024-11-04 11:50:20.647511,35,206
208,hy testing new message,2024-11-04 11:54:02.528395,8,206
209,...,2024-11-04 11:57:22.186913,8,206
210,...,2024-11-04 11:57:48.806761,8,206
211,...,2024-11-04 11:58:48.493995,8,206
212,testing here,2024-11-04 12:32:29.494705,21,58
213,hiiii,2024-11-04 12:49:53.509646,21,5
214,hello deems testing here,2024-11-04 14:16:23.566966,21,5
215,hy,2024-11-04 14:31:17.280901,21,5
216,test,2024-11-04 14:31:22.611458,21,5
217,hy,2024-11-04 14:39:29.937027,21,5
218,hy,2024-11-04 14:39:30.058736,21,5
219,check,2024-11-04 14:49:57.453288,21,5
220,check,2024-11-04 14:49:57.478414,21,5
221,hello,2024-11-04 14:59:51.171667,21,5
222,Hello how are you ,2024-11-05 11:24:13.206596,47,2853
223,im good how are you ,2024-11-05 11:25:33.093763,47,2854
224,any thing new ,2024-11-05 11:28:45.224795,47,2854
225,nothing serious how about you ,2024-11-05 11:29:28.129205,47,2853
226,hello dmytro,2024-11-05 15:47:43.392228,21,58
227,okkkkk,2024-11-05 17:30:59.138984,21,5
228,ok go,2024-11-05 17:32:13.421001,22,58
229,wonder full boy,2024-11-05 17:36:41.539964,21,5
230,how are you,2024-11-05 17:37:02.085281,21,58
231,im bussy,2024-11-05 17:37:24.677529,21,5
232,why,2024-11-05 17:37:40.505921,21,58
233,sure,2024-11-05 17:37:59.645052,21,5
234,sure,2024-11-05 17:38:00.155846,21,5
235,sure,2024-11-05 17:38:01.078868,21,5
236,wonder land,2024-11-05 17:39:59.265469,21,58
237,new way,2024-11-05 17:40:21.028631,21,58
238,jugan,2024-11-05 17:46:32.324051,21,5
239,kia,2024-11-05 17:46:45.742658,21,5
240,next work,2024-11-05 17:49:47.237654,21,58
241,hiiiiii,2024-11-05 17:50:17.985122,21,5
242,gooo to home,2024-11-05 17:58:33.077664,21,5
243,hhh,2024-11-05 17:59:01.280169,21,58
244,Hi hassan, are you here,2024-11-05 19:33:25.284937,42,58
245,hello,2024-11-06 15:33:16.052476,22,58
246,hi demmmmytro,2024-11-06 18:00:46.788456,21,5
247,hi deems testing,2024-11-06 18:04:58.575532,21,58
248,hi,2024-11-07 10:03:56.196269,45,2254
249,hi,2024-11-07 10:03:58.873368,45,2254
250,im  testing now,2024-11-07 17:39:14.489939,22,58
251,im  testing now,2024-11-07 17:39:17.437893,22,58
252,hello,2024-11-07 17:39:44.909497,22,58
253,ok go khan,2024-11-07 17:40:03.953745,21,5
254,why not,2024-11-07 17:40:30.516507,22,58
255,hello,2024-11-07 17:41:03.703211,22,58
256,hello,2024-11-07 17:56:03.405176,21,5
257,jj,2024-11-07 17:57:47.821126,21,58
258,hello,2024-11-07 18:01:55.265825,21,5
259,how are you,2024-11-07 18:02:07.546234,21,5
260,wonder,2024-11-07 18:02:52.489249,22,58
261,ok,2024-11-07 18:03:23.429685,21,5
262,jani,2024-11-07 18:05:26.054272,21,5
263,go,2024-11-07 18:07:02.974720,21,58
264,hahahah,2024-11-07 18:07:12.828780,21,5
265,kia how khan,2024-11-07 18:07:28.937819,21,58
266,now khan,2024-11-07 18:08:27.761802,21,5
267,kia how bhai,2024-11-07 18:08:41.687206,21,58
268,jani kha ho,2024-11-07 18:09:30.873113,21,5
269,hello,2024-11-07 18:10:44.603222,21,58
270,hi khan how are you,2024-11-07 18:18:23.641205,21,5
271,ok go,2024-11-07 18:18:50.054390,21,58
272,where i go now,2024-11-07 18:19:01.109484,21,5
273,i dont now,2024-11-07 18:19:12.504510,21,58
274,jani oy,2024-11-07 18:19:46.809056,21,5
275,kia,2024-11-07 18:19:55.649743,21,58
276,hi dem,2024-11-07 18:20:57.578141,21,58
277,hi enterprise,2024-11-07 18:21:20.654302,21,5
278,ye dem khan,2024-11-07 18:21:53.536114,21,58
279,khan g,2024-11-07 18:27:00.242130,21,5
280,hello khan,2024-11-07 18:28:06.903914,21,5
281,kia hoa,2024-11-07 18:28:19.867249,21,5
282,kia ha zee,2024-11-07 18:30:40.876243,21,5
283,kuch ni,2024-11-07 18:31:04.187081,21,58
284,jani ho,2024-11-07 18:34:05.709415,21,5
285,ki ahia,2024-11-07 18:34:29.315514,21,58
286,yes zee,2024-11-07 18:37:33.024050,21,5
287,kia tha yar,2024-11-07 18:39:26.488527,21,5
288,hi zeeee,2024-11-08 04:26:11.322498,21,58
289,hi khan,2024-11-08 04:26:57.007345,21,5
290,testing,2024-11-08 04:43:11.431361,21,5
291,again testing,2024-11-08 04:43:36.003254,21,5
292,working fine now,2024-11-08 04:44:32.768205,21,58
293,real time updating,2024-11-08 04:44:52.399855,21,58
294,hi,2024-11-08 06:59:31.364387,48,1102
295,hi,2024-11-08 06:59:33.652563,48,1102
296,hello,2024-11-08 07:01:26.283355,48,1102
297,Hey,2024-11-08 07:02:20.475465,48,1102
298,hi accountant one ,2024-11-08 07:14:59.504871,46,303
299,Hello Thomas,2024-11-08 07:39:55.543905,48,56
300,Hi Ashir,2024-11-08 07:44:09.713724,48,1102
301,hi,2024-11-08 07:51:44.954852,11,56
302,helloselam,2024-11-08 07:56:39.690577,49,303
303,hello selam,2024-11-08 07:56:43.012213,49,303
304,I am selam for test msg issue,2024-11-08 08:06:13.443034,11,56
305,hi testing sse here,2024-11-08 13:52:22.406943,21,5
306,yeah its working in real time,2024-11-08 13:53:32.621657,21,58
307,hi there,2024-11-08 14:12:09.585823,21,5
308,hi here,2024-11-08 14:12:32.195341,21,58
309,hello,2024-11-09 07:40:12.746187,21,58
310,HAN,2024-11-09 08:58:20.176789,21,58
311,HIII,2024-11-09 08:59:26.812172,21,5
312,KIA HIA,2024-11-09 14:09:56.375148,21,5
313,hellp,2024-11-10 07:30:21.838905,21,58
314,ok,2024-11-10 07:33:56.895890,21,58
315,go,2024-11-10 07:40:23.450209,21,58
316,go,2024-11-10 07:40:23.474638,21,58
317,hahah,2024-11-10 07:40:49.138912,21,5
318,hello,2024-11-10 07:41:22.509613,21,5
319,hi,2024-11-10 12:48:08.691922,21,5
320,hi dmytro ,2024-11-11 10:25:20.638177,21,58
321,hi deems,2024-11-11 10:25:33.754896,21,5
322,deem ready to push changes,2024-11-11 11:22:02.730300,21,5
323,great go ahead,2024-11-11 11:24:38.887600,21,58
324,ok,2024-11-11 11:25:44.797664,21,5
325,ok,2024-11-11 11:25:59.902964,21,58
326,Hallo,2024-11-11 12:06:11.081011,20,56
327,Hello,2024-11-11 14:09:52.191386,52,307
328,hi jani,2024-11-11 15:58:13.195361,21,58
329,hi 2,2024-11-11 16:01:44.840202,21,58
330,zee,2024-11-11 16:04:25.481232,21,58
331,ok,2024-11-11 16:05:08.868625,21,5
332,k,2024-11-11 22:00:32.913603,21,58
333,khan,2024-11-11 22:42:40.443205,21,58
334,han,2024-11-11 22:43:07.074509,21,5
335,zeee,2024-11-11 22:43:36.938798,21,5
336,hellop,2024-11-11 22:44:56.574132,21,5
337,kia hai,2024-11-11 22:48:54.290490,21,58
338,nothing,2024-11-11 22:49:03.885456,21,58
339,ki ahia,2024-11-11 22:52:10.781433,21,58
340,hiii,2024-11-11 22:56:06.694647,21,58
341,hello khan,2024-11-11 22:57:59.787637,21,58
342,han,2024-11-11 22:58:33.163360,21,5
343,kuch ni,2024-11-11 22:59:17.322333,21,58
344,kuch ni,2024-11-11 22:59:17.618961,21,58
345,kuch ni,2024-11-11 22:59:17.634374,21,58
346,khan,2024-11-12 02:30:07.407576,21,5
347,han khan,2024-11-12 02:43:18.259181,21,58
348,kia kr rhy ho,2024-11-12 02:43:28.676001,21,5
349,kuch ni,2024-11-12 02:43:37.466612,21,58
350,ok,2024-11-12 02:43:44.024579,21,5
351,hi,2024-11-12 02:49:57.848507,21,58
352,go,2024-11-12 02:50:04.186206,21,58
353,no problem,2024-11-12 02:50:15.810878,21,58
354,haha,2024-11-12 02:50:54.519411,21,58
355,jani,2024-11-12 02:50:56.576316,21,5
356,jani,2024-11-12 02:50:57.004864,21,5
357,hi,2024-11-12 02:51:57.530422,21,5
358,kia,2024-11-12 02:52:08.660523,21,5
359,hi,2024-11-12 02:53:01.746735,21,58
360,yes,2024-11-12 02:53:05.948734,21,5
361,no issue,2024-11-12 02:53:14.331005,21,58
